$GPGGA,0944 43.477,5225.36590,01052.03280,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094443.681,5225.36580,01052.03230,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094444.79,5225.36540,01052.03140,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094444.277,5225.36520,01052.03080,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094444.677,5225.36490,01052.02960,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094444.875,5225.36470,01052.02900,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094445.77,5225.36460,01052.02830,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094445.276,5225.36440,01052.02760,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094445.480,5225.36430,01052.02690,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094445.678,5225.36410,01052.02610,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094445.877,5225.36390,01052.02540,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094446.77,5225.36370,01052.02450,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094446.271,5225.36350,01052.02370,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094446.472,5225.36330,01052.02280,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094446.673,5225.36310,01052.02190,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094446.873,5225.36290,01052.02090,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094447.76,5225.36270,01052.02000,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094447.274,5225.36240,01052.01900,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094447.476,5225.36220,01052.01800,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094447.670,5225.36200,01052.01700,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094447.874,5225.36170,01052.01600,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094448.76,5225.36150,01052.01500,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094448.273,5225.36120,01052.01400,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094448.474,5225.36100,01052.01300,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094448.667,5225.36070,01052.01200,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094448.867,5225.36040,01052.01100,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094449.64,5225.36020,01052.01000,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094449.270,5225.35990,01052.00900,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094449.474,5225.35970,01052.00810,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094449.674,5225.35950,01052.00720,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094449.875,5225.35920,01052.00630,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094450.74,5225.35900,01052.00540,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094450.272,5225.35880,01052.00460,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094450.470,5225.35860,01052.00380,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094450.675,5225.35840,01052.00290,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094450.873,5225.35820,01052.00220,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094451.71,5225.35810,01052.00140,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094451.271,5225.35790,01052.00070,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094451.473,5225.35780,01052.00000,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094451.674,5225.35760,01051.99930,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094451.870,5225.35750,01051.99870,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094452.75,5225.35740,01051.99800,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094452.273,5225.35720,01051.99730,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094452.473,5225.35710,01051.99670,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094452.676,5225.35690,01051.99610,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094452.874,5225.35680,01051.99540,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094453.72,5225.35660,01051.99480,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094453.270,5225.35650,01051.99410,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094453.475,5225.35640,01051.99350,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094453.674,5225.35620,01051.99280,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094453.875,5225.35610,01051.99210,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094454.74,5225.35590,01051.99150,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094454.277,5225.35580,01051.99080,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094454.477,5225.35560,01051.99010,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094454.673,5225.35550,01051.98940,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094454.876,5225.35530,01051.98870,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094455.77,5225.35520,01051.98800,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094455.276,5225.35510,01051.98740,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094455.476,5225.35490,01051.98670,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094455.676,5225.35480,01051.98610,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094455.871,5225.35470,01051.98550,1,08,0.9,545.4,M,46.9,M,,*47
$GPGGA,094456.74,5225.35460,01051.98480,1,08,0.9,545.4,M,46.9,M,,*47
